PS C:\Users\Paulo\Desktop\236901\ARMP-HW2> python run.py -map map2.json
62050 124.30010938644409 ((131, 154)), g,h:[203.9360748630714,554.7071299343465], parent: ((130, 153))
63050 126.3085548877716 ((149, 162)), g,h:[220.56349186104111,620.0806399170998], parent: ((148, 162))
64050 128.38403058052063 ((132, 140)), g,h:[193.27922061357899,680.0], parent: ((131, 140))
65050 130.38947868347168 ((131, 162)), g,h:[211.6934341759521,490.40799340956914], parent: ((130, 162))
66050 132.43493604660034 ((145, 160)), g,h:[215.49242404917558,602.0797289396147], parent: ((144, 160))
67050 134.47338891029358 ((150, 162)), g,h:[218.97770542341422,628.0127387243033], parent: ((149, 161))
68050 136.55119824409485 ((152, 151)), g,h:[215.83556979968316,714.49282711585], parent: ((151, 151))
69050 138.54163932800293 ((116, 139)), g,h:[181.0660171779824,630.6346010171025], parent: ((115, 138))
70050 140.54908895492554 ((131, 138)), g,h:[189.20815280171345,693.1810730249349], parent: ((130, 138))
71050 142.61254739761353 ((133, 134)), g,h:[188.37972567696724,737.9024325749306], parent: ((132, 134))
72050 144.65300250053406 ((128, 165)), g,h:[211.20815280171345,448.2186966202994], parent: ((127, 164))
73050 146.6394443511963 ((124, 141)), g,h:[186.13708498984792,636.9458375717671], parent: ((123, 141))
74050 148.65000772476196 ((141, 148)), g,h:[200.76450198781762,662.1933252457322], parent: ((140, 148))
75050 150.76747870445251 ((157, 162)), g,h:[221.39191898578733,685.054742338158], parent: ((156, 162))
76050 152.84894108772278 ((129, 158)), g,h:[203.79393923934035,510.3920062069938], parent: ((128, 157))
77050 154.84110498428345 ((143, 155)), g,h:[207.17871555019073,622.4146527838174], parent: ((142, 155))
78050 156.8585615158081 ((152, 152)), g,h:[211.42135623731005,707.6722405181653], parent: ((151, 152))
79050 158.97220087051392 ((161, 160)), g,h:[222.56349186104111,729.4518489934753], parent: ((160, 160))
80050 161.0016520023346 ((124, 148)), g,h:[190.8944443027286,572.7128425310541], parent: ((123, 147))
81050 162.99309420585632 ((126, 135)), g,h:[179.3086578651017,700.0714249274856], parent: ((125, 135))
82050 165.0105414390564 ((130, 129)), g,h:[177.8944443027286,770.7788269017254], parent: ((129, 129))
83050 167.1234529018402 ((159, 153)), g,h:[215.66399692442937,754.3208866258443], parent: ((158, 153))
84050 169.1268982887268 ((138, 158)), g,h:[206.45079348883277,566.3920903402518], parent: ((137, 158))
85050 171.15834951400757 ((149, 156)), g,h:[208.42135623731005,658.5590330410782], parent: ((148, 155))
86050 173.23297905921936 ((128, 130)), g,h:[173.72287142747481,753.9230729988305], parent: ((127, 129))
87050 175.35444927215576 ((36, 167)), g,h:[262.46298679765283,720.0694410957876], parent: ((37, 167))
88050 177.35589385032654 ((141, 159)), g,h:[207.86500705120588,579.827560572969], parent: ((140, 159))
89050 179.3813440799713 ((136, 141)), g,h:[187.20815280171345,691.158447825099], parent: ((135, 140))
90050 181.46181631088257 ((124, 124)), g,h:[165.23759005323618,796.994353806851], parent: ((123, 123))
91050 183.57628560066223 ((29, 193)), g,h:[280.2325394193536,713.4423592694787], parent: ((30, 193))
92050 185.56772804260254 ((148, 166)), g,h:[216.35028842544452,588.2176467941097], parent: ((147, 165))
93050 187.59517812728882 ((152, 156)), g,h:[208.00714267493694,681.1754546370561], parent: ((151, 155))
94050 189.6516351699829 ((143, 133)), g,h:[186.55129855222103,796.1155694998057], parent: ((142, 133))
95050 191.77510595321655 ((96, 118)), g,h:[182.16652224137064,820.9750300709517], parent: ((97, 118))
96050 193.78955340385437 ((124, 141)), g,h:[180.58073580374375,636.9458375717671], parent: ((123, 140))
97050 195.8110032081604 ((137, 140)), g,h:[184.96551211459413,704.9113419430843], parent: ((136, 139))
98050 197.87646198272705 ((153, 143)), g,h:[198.6934341759521,778.3315488916019], parent: ((152, 143))
99050 200.03594136238098 ((54, 137)), g,h:[232.03657992645967,780.0640999302557], parent: ((55, 137))
100050 202.05739045143127 ((137, 154)), g,h:[198.13708498984792,590.3388857258177], parent: ((136, 153))
101050 204.07883954048157 ((161, 164)), g,h:[218.07821048680248,708.3078426785913], parent: ((160, 163))
102050 206.11529183387756 ((158, 150)), g,h:[204.59292911256384,765.7675887630659], parent: ((157, 150))
103050 208.23476266860962 ((53, 252)), g,h:[319.3330444827419,700.9279563550023], parent: ((54, 251))
104050 210.29021835327148 ((139, 156)), g,h:[200.13708498984792,587.962583843564], parent: ((138, 155))
105050 212.3136682510376 ((152, 154)), g,h:[203.5218613006983,694.2621983083914], parent: ((151, 153))
106050 214.34011840820312 ((138, 131)), g,h:[174.72287142747481,787.7182237323191], parent: ((137, 130))
107050 216.4275825023651 ((133, 121)), g,h:[164.40916292848996,856.1541917201598], parent: ((132, 121))
108050 218.50104308128357 ((140, 157)), g,h:[200.72287142747481,587.2818744010409], parent: ((139, 156))
109050 220.51649022102356 ((127, 128)), g,h:[166.33809511662443,768.9603370785778], parent: ((126, 127))
110050 222.52893733978271 ((129, 120)), g,h:[159.75230867899754,850.9406559801923], parent: ((128, 120))
111050 224.60539841651917 ((152, 135)), g,h:[187.20815280171345,832.4061508662703], parent: ((151, 135))
112050 226.68686079978943 ((140, 157)), g,h:[199.8944443027286,587.2818744010409], parent: ((139, 156))
113050 228.78032541275024 ((156, 157)), g,h:[206.5218613006983,706.0453243241541], parent: ((155, 156))
114050 230.808776140213 ((151, 136)), g,h:[186.37972567696724,818.3520025025906], parent: ((150, 136))
115050 232.8912386894226 ((155, 138)), g,h:[189.45079348883277,828.7943049997388], parent: ((154, 138))
116050 234.95869779586792 ((134, 150)), g,h:[190.16652224137064,604.648658313239], parent: ((133, 150))
